Id,Date,RobotID,UserID,Successful
126,"2019-07-13 16:05:24",1061,199,0
127,"2019-07-13 16:05:34",1085,199,1
128,"2019-07-13 19:42:36",1077,247,1
129,"2019-07-14 13:04:11",1070,229,1
130,"2019-07-15 01:45:14",1084,254,1
131,"2019-07-18 21:54:32",1041,280,0
132,"2019-07-20 11:57:47",924,288,0
133,"2019-07-21 03:20:49",1077,298,0
134,"2019-07-21 21:36:38",1089,301,1
135,"2019-07-31 03:18:30",1274,334,1
136,"2019-07-31 17:22:38",1400,335,1
137,"2019-07-31 17:45:23",1414,335,1
138,"2019-07-31 18:08:04",1409,335,1
139,"2019-07-31 18:34:28",1496,335,1
140,"2019-08-01 17:48:48",1613,335,1
141,"2019-08-01 17:55:16",1637,335,1
142,"2019-08-03 01:43:40",1731,351,1
143,"2019-08-03 01:54:16",1749,351,1
144,"2019-08-05 00:59:25",1840,351,1
145,"2019-08-05 01:00:09",1843,351,1
146,"2019-08-05 01:00:28",1844,351,1
147,"2019-08-05 01:19:33",1848,351,1
148,"2019-08-05 02:49:59",1818,351,1
149,"2019-08-05 02:50:05",1870,351,1
150,"2019-08-05 03:24:04",1881,351,1
151,"2019-08-05 03:27:12",1414,362,0
152,"2019-08-05 03:27:57",1414,362,0
153,"2019-08-05 03:31:14",1886,362,1
154,"2019-08-05 03:34:54",1866,362,1
155,"2019-08-05 03:41:04",1870,351,0
156,"2019-08-05 03:46:58",1888,362,0
157,"2019-08-05 03:47:38",1884,351,1
158,"2019-08-05 15:51:49",1888,367,1
159,"2019-08-05 15:53:06",1414,367,0
160,"2019-08-05 15:57:37",1888,367,0
161,"2019-08-05 15:58:26",1414,367,0
162,"2019-08-05 16:08:23",1890,367,1
163,"2019-08-05 16:14:19",1881,367,0
164,"2019-08-05 16:29:52",1891,367,0
165,"2019-08-05 16:32:30",1891,367,1
166,"2019-08-06 00:11:53",1891,351,0
167,"2019-08-06 00:13:18",1890,351,0
168,"2019-08-06 00:13:20",1881,351,0
169,"2019-08-06 00:14:13",1911,351,1
170,"2019-08-06 01:43:41",1923,351,1
171,"2019-08-06 02:03:25",1928,351,1
172,"2019-08-06 02:16:31",1934,351,1
173,"2019-08-06 03:21:24",1942,351,1
174,"2019-08-06 03:34:44",1954,351,1
175,"2019-08-06 03:40:15",1956,351,1
176,"2019-08-06 03:42:13",1943,351,1
177,"2019-08-06 11:35:44",1977,351,1
178,"2019-08-07 02:47:53",2001,351,0
179,"2019-08-07 03:09:38",1891,351,0
180,"2019-08-07 03:09:39",1881,351,0
181,"2019-08-07 22:26:08",1891,351,0
182,"2019-08-08 09:34:52",1891,345,0
183,"2019-08-08 09:35:27",1954,345,0
184,"2019-08-08 09:40:43",2060,345,1
185,"2019-08-08 13:47:27",1891,389,0
186,"2019-08-08 13:49:55",1954,389,0
187,"2019-08-08 13:51:42",2060,389,0
188,"2019-08-08 13:58:19",2097,389,1
