Users
Id,PosReinforcements,NegReinforcements,CommandCount,DateAdded,Points,PointsPerSec,StartInfoClaims,EndInfoClaims
89,72,72,0,2019-06-13 17:43:43,1103.1660348,3.4,0,0
90,0,0,0,2019-06-14 07:45:23,2.6531323,0.1,0,0
91,1,1,0,2019-06-14 10:17:04,2.6905968,0.1,0,0
92,0,0,0,2019-06-14 11:54:34,2.9015408,0.1,0,0
93,14,13,0,2019-06-14 17:25:26,47.8976035,0.7,0,0
94,1144,1142,3,2019-06-14 19:05:16,163161.7344623,27.5,0,0
95,8,8,0,2019-06-14 20:13:35,34.1376174,0.2,0,0
96,3,3,0,2019-06-14 22:17:30,8.6524808,0.4,0,0
97,3,3,0,2019-06-15 15:05:48,3.6411669,0.2,0,0
98,2,2,0,2019-06-15 15:18:52,83.3569114,0.3,0,0
99,5,5,0,2019-06-15 16:51:08,7.8087285,0.3,0,0
100,20,20,0,2019-06-15 17:46:25,121.4756923,0.7,0,0
101,48,48,0,2019-06-15 19:36:28,1027.4014534,2.5,0,0
102,5,5,0,2019-06-15 22:54:18,12.2115323,0.4,0,0
103,0,0,0,2019-06-16 00:00:33,4.6384253,0.1,0,0
104,1,1,0,2019-06-16 09:39:46,1.0,0.2,0,0
105,0,0,0,2019-06-16 10:41:21,3.4973222,0.1,0,0
106,0,0,0,2019-06-16 12:20:57,4.8735198,0.1,0,0
107,12,11,0,2019-06-16 16:29:30,23.5638041,0.3,0,0
108,102,101,1,2019-06-16 16:30:47,3104.9147334,39.5,0,0
109,0,0,0,2019-06-16 18:39:07,4.782421,0.1,0,0
110,0,0,0,2019-06-16 23:12:56,4.6963004,0.1,0,0
111,4,4,0,2019-06-17 05:35:31,7.717334,0.4,0,0
112,0,0,0,2019-06-17 08:09:52,5.0088006,0.1,0,0
113,1,1,0,2019-06-17 16:35:11,5.2584126,0.1,0,0
114,7,7,0,2019-06-18 00:32:52,28.9792059,0.5,0,0
115,0,0,0,2019-06-18 07:35:58,1.0,0.1,0,0
116,0,0,0,2019-06-18 15:08:57,2.8422902,0.1,0,0
117,9,9,0,2019-06-18 16:08:02,33.7426572,0.6,0,0
118,8,8,1,2019-06-18 17:42:55,7.6952011,0.6,0,0
119,0,0,0,2019-06-18 17:51:34,4.7329061,0.1,0,0
120,50,50,0,2019-06-19 01:42:39,666.8818418,2.1,0,0
121,2,2,0,2019-06-19 05:38:13,2.763028,0.3,0,0
122,6,6,0,2019-06-19 17:02:15,37.8953139,0.5,0,0
123,8,8,0,2019-06-19 22:02:57,29.3672227,0.4,0,0
124,53,53,0,2019-06-19 22:18:17,1133.5229572,2.5,0,0
125,0,0,0,2019-06-20 05:27:40,1.0,0.1,0,0
126,0,0,0,2019-06-20 08:23:09,3.0818327,0.1,0,0
127,1,1,0,2019-06-20 08:54:57,1.0,0.2,0,0
128,2,2,0,2019-06-20 09:40:21,11.303461,0.2,0,0
129,0,0,0,2019-06-20 13:40:38,1.0,0.1,0,0
130,0,0,0,2019-06-20 14:30:27,4.5300787,0.1,0,0
131,9,9,0,2019-06-20 18:35:35,35.7428961,0.4,0,0
132,321,320,8,2019-06-20 18:55:13,27284.6633511,59.0,0,0
133,8,8,0,2019-06-21 00:30:53,63.3667592,0.5,0,0
134,0,0,0,2019-06-21 00:52:06,2.5022192,0.1,0,0
135,0,0,0,2019-06-21 01:28:25,1.0,0.1,0,0
136,5,5,0,2019-06-21 04:40:34,13.4593144,0.3,0,0
137,0,0,0,2019-06-21 20:05:14,2.9224881,0.1,0,0
138,25,25,0,2019-06-21 22:05:21,300.3781479,1.7,0,0
139,0,0,0,2019-06-22 04:35:37,4.9635171,0.1,0,0
140,58,58,1,2019-06-22 05:42:13,326.6644952,2.6,0,0
141,47,46,0,2019-06-22 07:14:46,610.6970408,1.5,0,0
142,49,49,0,2019-06-22 07:15:12,896.1657492,2.9,0,0
143,3,3,0,2019-06-22 13:56:09,51.5681024,0.4,0,0
144,0,0,0,2019-06-22 16:28:26,2.6436823,0.1,0,0
145,16,16,0,2019-06-22 16:38:48,84.5418615,0.9,0,0
146,36,36,1,2019-06-22 21:22:30,812.5442767,9.7,0,0
147,0,0,0,2019-06-23 02:38:25,1.0,0.1,0,0
148,0,0,0,2019-06-23 02:46:43,2.7293708,0.1,0,0
149,3,3,0,2019-06-23 03:29:01,9.1072135,0.4,0,0
150,0,0,0,2019-06-23 11:36:52,2.6513436,0.1,0,0
151,0,0,0,2019-06-23 14:32:10,1.0,0.1,0,0
152,53,52,0,2019-06-24 02:20:36,930.2648794,2.7,0,0
153,1,1,0,2019-06-26 01:41:18,1.0,0.1,0,0
154,29,29,0,2019-06-26 02:26:38,365.5512883,0.6,0,0
155,3,2,0,2019-06-26 08:03:48,18.295272,0.2,0,0
156,0,0,0,2019-06-26 12:26:34,4.5879139,0.1,0,0
157,4,3,0,2019-06-26 22:39:51,26.4692755,0.2,0,0
158,2,2,0,2019-06-27 01:05:12,3.501718,0.2,0,0
159,0,0,0,2019-06-27 01:07:03,3.3161748,0.1,0,0
160,0,0,0,2019-06-27 04:31:23,4.7718863,0.1,0,0
161,1,1,0,2019-06-27 05:56:47,1.0,0.2,0,0
162,1,1,0,2019-06-27 11:21:47,5.3013948,0.1,0,0
163,5,5,0,2019-06-27 11:45:16,11.0064372,0.2,0,0
164,0,0,0,2019-06-28 16:31:48,2.7303199,0.1,0,0
165,0,0,0,2019-06-29 05:30:45,2.4187832,0.1,0,0
166,3,3,0,2019-06-29 05:43:36,35.4036949,0.3,0,0
167,0,0,0,2019-06-29 08:43:34,4.2641219,0.1,0,0
168,171,171,0,2019-06-29 14:25:32,5313.0205381,4.2,0,0
169,0,0,0,2019-06-29 17:49:54,2.8607248,0.1,0,0
170,57,57,0,2019-07-01 00:35:38,541.5976734,2.3,0,0
171,0,0,0,2019-07-01 02:16:53,3.8624519,0.1,0,0
172,76,76,0,2019-07-01 06:43:11,1089.9320665,2.4,0,0
173,2,2,0,2019-07-01 14:35:27,1.7476771,0.1,0,0
174,103,102,5,2019-07-01 17:23:40,8654.8235138,48.5,0,0
175,13,12,0,2019-07-01 17:25:09,38.2232678,0.4,0,0
176,3,3,0,2019-07-01 18:06:14,17.7021639,0.4,0,0
177,9,9,0,2019-07-01 19:15:19,124.1645511,0.9,0,0
178,1,1,0,2019-07-01 21:32:17,1.0,0.1,0,0
179,0,0,0,2019-07-02 18:15:46,3.9837986,0.1,0,0
180,27,27,0,2019-07-02 21:50:58,302.1995039,0.9,0,0
181,0,0,0,2019-07-02 22:34:29,5.488744,0.1,0,0
182,11,11,0,2019-07-03 07:09:33,39.2722219,0.5,0,0
183,6,6,0,2019-07-03 13:19:54,22.4324135,0.3,0,0
184,3,3,0,2019-07-03 20:49:46,51.1642714,0.2,0,0
185,26,26,0,2019-07-04 02:01:01,851.3352406,1.9,0,0
186,6,6,0,2019-07-04 03:02:39,15.9957253,0.4,0,0
187,0,0,0,2019-07-04 04:38:17,1.0,0.1,0,0
188,0,0,0,2019-07-04 05:29:29,4.2360354,0.1,0,0
189,10,10,0,2019-07-04 13:24:13,29.8250655,0.4,0,0
190,15,15,0,2019-07-04 17:46:26,84.242179,0.7,0,0
191,0,0,0,2019-07-04 23:50:15,4.159992,0.1,0,0
192,32,32,0,2019-07-05 06:23:31,554.5719138,1.5,0,0
193,0,0,0,2019-07-05 08:18:19,4.0537743,0.1,0,0
194,1,1,0,2019-07-05 16:31:43,1.0,0.1,0,0
195,0,0,0,2019-07-06 06:05:30,4.32392,0.1,0,0
196,20,20,0,2019-07-06 20:04:30,134.5754129,0.8,0,0
197,1,1,0,2019-07-06 22:14:00,1.0,0.1,0,0
198,3,3,0,2019-07-06 22:18:11,5.9533651,0.1,0,0
199,68,68,1,2019-07-06 23:37:02,138.638976,2.0,0,0
200,85,85,0,2019-07-07 07:04:23,993.2736996,4.0,0,0
201,4,4,0,2019-07-07 07:19:31,11.5162321,0.4,0,0
202,0,0,0,2019-07-07 09:28:19,4.3839111,0.1,0,0
203,12,12,0,2019-07-07 16:48:43,208.3845785,1.0,0,0
204,8,8,0,2019-07-07 17:42:22,108.1672288,0.5,0,0
205,13,13,0,2019-07-07 22:21:13,46.1218587,0.6,0,0
206,1,1,0,2019-07-07 23:04:20,1.4165522,0.1,0,0
207,1,1,0,2019-07-08 04:50:22,2.1943152,0.1,0,0
208,3,3,0,2019-07-08 15:49:27,6.4305478,0.1,0,0
209,23,23,0,2019-07-08 16:07:49,75.5706917,0.4,0,0
210,197,196,0,2019-07-08 16:38:58,13132.6424644,6.4,0,0
211,3,3,0,2019-07-08 22:02:24,10.802651,0.3,0,0
212,0,0,0,2019-07-08 23:50:15,2.8229088,0.1,0,0
213,194,194,10,2019-07-09 04:14:59,5274.6157125,33.6,0,0
214,10,10,0,2019-07-09 17:32:05,24.8502829,0.4,0,0
215,5,5,0,2019-07-09 20:11:47,5.0014944,0.1,0,0
216,20,20,0,2019-07-09 21:22:24,221.8184909,1.0,0,0
217,0,0,0,2019-07-10 00:50:10,4.776331,0.1,0,0
218,23,23,0,2019-07-10 02:13:11,175.7135465,1.2,0,0
219,1,1,0,2019-07-10 02:45:04,1.0,0.1,0,0
220,0,0,0,2019-07-10 03:35:39,1.0,0.1,0,0
221,26,26,0,2019-07-10 05:06:50,1467.1731012,1.9,0,0
222,0,0,0,2019-07-10 05:40:23,1.0,0.1,0,0
223,0,0,0,2019-07-10 10:10:42,1.0,0.1,0,0
224,0,0,0,2019-07-10 11:49:59,25.2907137,0.1,1,1
225,3,3,0,2019-07-10 16:25:23,9.3714895,0.2,0,0
226,1,1,0,2019-07-10 22:46:40,2.4966627,0.1,0,0
227,13,13,0,2019-07-11 01:40:59,419.3599076,0.7,0,0
228,16,16,0,2019-07-11 02:48:41,328.3763286,0.6,0,0
229,59,59,5,2019-07-11 11:30:57,733.2068351,32.3,0,0
230,5,5,0,2019-07-11 13:40:49,27.0457567,0.3,0,0
231,0,0,0,2019-07-11 14:14:03,7.9274371,0.1,0,0
232,16,16,0,2019-07-11 19:32:13,181.2379382,0.8,0,0
233,10,10,0,2019-07-11 22:57:01,57.4218306,0.4,0,0
234,19,19,0,2019-07-12 02:51:24,183.4058605,1.3,0,0
235,0,0,0,2019-07-12 04:50:24,5.9677376,0.1,0,0
236,0,0,0,2019-07-12 08:38:09,5.9817391,0.1,0,0
237,1,1,0,2019-07-12 11:23:23,2.942078,0.1,0,0
238,18,18,0,2019-07-13 01:47:22,240.5371233,1.6,0,0
239,56,56,0,2019-07-13 04:04:44,1706.4574828,2.7,0,0
240,14,14,0,2019-07-13 11:03:31,53.7553386,1.0,0,0
241,17,17,0,2019-07-13 11:12:43,696.298579,1.3,0,0
242,2,2,0,2019-07-13 11:40:36,6.9046264,0.2,0,0
243,2,2,0,2019-07-13 12:28:19,17.8708958,0.3,0,0
244,15,15,0,2019-07-13 18:23:03,102.6214216,1.1,0,0
