Id,Entry,Date,UserID
130,p,"2019-05-29 16:36:17.580257",3
131,"type the letter of the bot tha","2019-05-29 16:36:19.114767",4
132,b,"2019-05-29 16:36:34.309883",1
133,"or tell the bots what to do","2019-05-29 16:36:35.580165",4
134,b,"2019-05-29 16:36:47.172702",3
135,"you can create a command by us","2019-05-29 16:36:50.694677",4
136,o,"2019-05-29 16:36:53.482509",5
137,"To tell bots what to do, you h","2019-05-29 16:36:58.930074",1
138,*jump,"2019-05-29 16:37:08.608659",5
139,*suiciding,"2019-05-29 16:37:15.209077",1
140,*jumping,"2019-05-29 16:37:20.174977",5
141,j,"2019-05-29 16:37:30.093727",1
142,j,"2019-05-29 16:37:34.920081",3
143,"i don't get the ""x is killing ","2019-05-29 16:37:38.965166",5
144,*catching,"2019-05-29 16:37:40.567366",3
145,"I don't either, but they sure ","2019-05-29 16:37:53.148762",1
146,*speak,"2019-05-29 16:38:06.586594",3
147,*stare,"2019-05-29 16:38:11.740926",1
148,"the weak bots (those that lose","2019-05-29 16:38:12.216655",4
149,"oh, so one is defending and on","2019-05-29 16:38:24.637576",5
150,g,"2019-05-29 16:38:26.431993",1
151,g,"2019-05-29 16:38:26.978491",3
152,*dance,"2019-05-29 16:38:56.171327",3
153,"*trip over","2019-05-29 16:39:08.937039",1
154,*flip,"2019-05-29 16:39:12.731988",1
155,y,"2019-05-29 16:39:16.241918",1
156,y,"2019-05-29 16:39:21.051696",3
157,"well it's not really a fight, ","2019-05-29 16:39:21.508328",4
158,esay,"2019-05-29 16:39:25.559027",3
159,y,"2019-05-29 16:39:28.985182",4
160,"@BambooPandaStyle yeah, but pe","2019-05-29 16:39:40.158382",5
161,p,"2019-05-29 16:39:47.013379",1
162,j,"2019-05-29 16:39:50.486368",3
163,"abiding the commands","2019-05-29 16:39:53.793038",4
164,"ofc, but what is p abiding rn","2019-05-29 16:40:07.475263",5
165,"when p is getting killed","2019-05-29 16:40:14.922577",5
166,*sleep,"2019-05-29 16:40:17.314833",3
167,"the point of this is this: you","2019-05-29 16:40:29.129452",4
168,"he's abiding the command ""get ","2019-05-29 16:40:31.514253",5
169,r,"2019-05-29 16:40:36.890145",1
170,"so the bot will 'learn' to do ","2019-05-29 16:40:37.501291",4
171,"@BambooPandaStyle i get that, ","2019-05-29 16:40:38.029710",5
172,g,"2019-05-29 16:40:45.990524",3
173,best,"2019-05-29 16:41:00.054084",5
174,"well some commands are hard to","2019-05-29 16:41:07.232727",4
175,*swim,"2019-05-29 16:41:07.650481",3
