



































































































3 of 10 bots unlocked.
2 of 10 environments unlocked.



         432134 function calls (423152 primitive calls) in 14.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.027    0.013 figure.py:1375(subplots)
        2    0.000    0.000    0.027    0.013 figure.py:1216(add_subplot)
        2    0.000    0.000    0.026    0.013 _subplots.py:18(__init__)
        2    0.000    0.000    0.026    0.013 _base.py:417(__init__)
        1    0.000    0.000    0.026    0.026 rcsetup.py:15(<module>)
     1608    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1649    0.023    0.000    0.023    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.023    0.023 agraph.py:1438(draw)
        1    0.000    0.000    0.023    0.023 _internal.py:6(<module>)
        1    0.000    0.000    0.023    0.023 patches.py:1(<module>)
        1    0.000    0.000    0.023    0.023 agraph.py:1327(_run_prog)
        1    0.000    0.000    0.021    0.021 fontconfig_pattern.py:7(<module>)
       95    0.000    0.000    0.021    0.000 re.py:232(compile)
    22/14    0.000    0.000    0.020    0.001 axis.py:1813(_get_tick)
      178    0.001    0.000    0.019    0.000 sre_parse.py:919(parse)
       12    0.019    0.002    0.019    0.002 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.019    0.010 threading.py:1000(join)
        2    0.000    0.000    0.019    0.010 threading.py:1038(_wait_for_tstate_lock)
       12    0.002    0.000    0.019    0.002 artist.py:1179(_get_setters_and_targets)
    22/14    0.000    0.000    0.018    0.001 axis.py:2189(_get_tick)
  370/178    0.002    0.000    0.018    0.000 sre_parse.py:417(_parse_sub)
      132    0.002    0.000    0.018    0.000 lines.py:277(__init__)
        1    0.000    0.000    0.018    0.018 pyparsing.py:76(<module>)
      410    0.001    0.000    0.018    0.000 artist.py:1142(get_valid_values)
        1    0.000    0.000    0.018    0.018 text.py:3(<module>)
  418/185    0.006    0.000    0.017    0.000 sre_parse.py:475(_parse)
       27    0.000    0.000    0.017    0.001 __init__.py:1056(rc_params_from_file)
        1    0.000    0.000    0.017    0.017 client.py:69(<module>)
        1    0.000    0.000    0.016    0.016 __init__.py:10(<module>)
  192/112    0.000    0.000    0.016    0.000 spines.py:436(get_spine_transform)
      576    0.003    0.000    0.016    0.000 inspect.py:1087(getfullargspec)
  208/112    0.000    0.000    0.016    0.000 spines.py:158(_ensure_position_is_set)
       16    0.000    0.000    0.016    0.001 spines.py:392(set_position)
        1    0.000    0.000    0.015    0.015 py3k.py:4(<module>)
      172    0.001    0.000    0.015    0.000 artist.py:663(set_clip_path)
        1    0.000    0.000    0.015    0.015 collections.py:10(<module>)
        2    0.000    0.000    0.015    0.007 backend_agg.py:392(draw)
        1    0.000    0.000    0.015    0.015 core.py:12(<module>)
        1    0.000    0.000    0.015    0.015 case.py:1(<module>)
        1    0.000    0.000    0.014    0.014 core.py:151(load_base_library)
        1    0.000    0.000    0.014    0.014 core.py:182(read_style_directory)
      615    0.002    0.000    0.014    0.000 inspect.py:2196(_signature_from_callable)
       27    0.003    0.000    0.014    0.001 __init__.py:978(_rc_params_in_file)
        2    0.000    0.000    0.014    0.007 backend_macosx.py:146(__init__)
        2    0.000    0.000    0.014    0.007 backend_bases.py:2582(__init__)
        2    0.013    0.007    0.014    0.007 backend_macosx.py:149(_init_toolbar)
        1    0.000    0.000    0.014    0.014 dates.py:134(<module>)
      476    0.000    0.000    0.014    0.000 re.py:180(search)
        1    0.000    0.000    0.014    0.014 population.py:15(__init__)
     23/2    0.000    0.000    0.014    0.007 artist.py:42(draw_wrapper)
        2    0.000    0.000    0.014    0.007 figure.py:1615(draw)
