



































































































3 of 10 bots unlocked.
2 of 10 environments unlocked.



         432134 function calls (423152 primitive calls) in 14.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 axis.py:1619(set_minor_locator)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        4    0.000    0.000    0.000    0.000 enum.py:772(_missing_)
       29    0.000    0.000    0.000    0.000 transforms.py:1826(transform_affine)
      100    0.000    0.000    0.000    0.000 artist.py:947(set_zorder)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x1105debf8}
        2    0.000    0.000    0.000    0.000 __init__.py:602(_get_config_or_cache_dir)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1970(__or__)
        1    0.000    0.000    0.000    0.000 _axes.py:172(set_title)
        1    0.000    0.000    0.000    0.000 dviread.py:173(Dvi)
       16    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        4    0.000    0.000    0.000    0.000 enum.py:779(_create_pseudo_member_)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1079(wrapper)
      132    0.000    0.000    0.000    0.000 lines.py:1254(set_dash_joinstyle)
        8    0.000    0.000    0.000    0.000 transforms.py:395(width)
        1    0.000    0.000    0.000    0.000 database.py:924(Get_Living_Robots)
        1    0.000    0.000    0.000    0.000 database.py:1337(Get_Unlocked_Robots)
        1    0.000    0.000    0.000    0.000 __init__.py:783(RcParams)
      496    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        1    0.000    0.000    0.000    0.000 database.py:1113(Get_Original_Robots)
      108    0.000    0.000    0.000    0.000 text.py:958(set_color)
     1195    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       27    0.000    0.000    0.000    0.000 posixpath.py:331(normpath)
       22    0.000    0.000    0.000    0.000 artist.py:32(allow_rasterization)
      108    0.000    0.000    0.000    0.000 text.py:1231(set_usetex)
       22    0.000    0.000    0.000    0.000 axis.py:1519(convert_units)
        1    0.000    0.000    0.000    0.000 isoparser.py:9(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:2278(_get_tick_boxes_siblings)
        2    0.000    0.000    0.000    0.000 rcsetup.py:78(<listcomp>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        2    0.000    0.000    0.000    0.000 axis.py:2196(_get_label)
        2    0.000    0.000    0.000    0.000 transforms.py:726(union)
       60    0.000    0.000    0.000    0.000 rcsetup.py:72(<listcomp>)
       17    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
        6    0.000    0.000    0.000    0.000 transforms.py:1685(set)
       16    0.000    0.000    0.000    0.000 _base.py:3124(_validate_converted_limits)
       22    0.000    0.000    0.000    0.000 axis.py:417(apply_tickdir)
        3    0.000    0.000    0.000    0.000 numeric.py:2274(isclose)
        5    0.000    0.000    0.000    0.000 transforms.py:809(from_bounds)
       18    0.000    0.000    0.000    0.000 transforms.py:2330(blended_transform_factory)
       32    0.000    0.000    0.000    0.000 rcsetup.py:822(<genexpr>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
      263    0.000    0.000    0.000    0.000 pyparsing.py:373(__new__)
       12    0.000    0.000    0.000    0.000 pathlib.py:991(__new__)
     1910    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 __init__.py:286(Verbose)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:105(_write_atomic)
        1    0.000    0.000    0.000    0.000 command.py:26(Get_Encoding)
     1828    0.000    0.000    0.000    0.000 inspect.py:2519(default)
      146    0.000    0.000    0.000    0.000 lines.py:30(_get_dash_pattern)
       22    0.000    0.000    0.000    0.000 axis.py:540(apply_tickdir)
        1    0.000    0.000    0.000    0.000 database.py:730(Get_Command_Encoding)
       51    0.000    0.000    0.000    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3606(__init__)
      132    0.000    0.000    0.000    0.000 lines.py:1270(set_solid_joinstyle)
        4    0.000    0.000    0.000    0.000 enum.py:851(_decompose)
        1    0.000    0.000    0.000    0.000 command.py:94(Set_Valid_Random_Command)
       10    0.000    0.000    0.000    0.000 rcsetup.py:329(validate_color_or_inherit)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2434(__init__)
      132    0.000    0.000    0.000    0.000 lines.py:1135(set_markeredgewidth)
        1    0.000    0.000    0.000    0.000 lines.py:208(Line2D)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:3500(__str__)
      132    0.000    0.000    0.000    0.000 lines.py:1315(set_solid_capstyle)
      703    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
      144    0.000    0.000    0.000    0.000 inspect.py:714(getmodule)
       18    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
        8    0.000    0.000    0.000    0.000 getlimits.py:376(__new__)
      132    0.000    0.000    0.000    0.000 lines.py:1177(set_markersize)
      616    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      431    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       83    0.000    0.000    0.000    0.000 sre_parse.py:843(_parse_flags)
       10    0.000    0.000    0.000    0.000 backend_bases.py:2134(mpl_connect)
        1    0.000    0.000    0.000    0.000 _base.py:396(_AxesBase)
      132    0.000    0.000    0.000    0.000 lines.py:979(set_drawstyle)
        1    0.000    0.000    0.000    0.000 numerictypes.py:299(_add_aliases)
       17    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
      356    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        2    0.000    0.000    0.000    0.000 axis.py:1838(_get_offset_text)
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      130    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      160    0.000    0.000    0.000    0.000 lines.py:1202(set_ydata)
        1    0.000    0.000    0.000    0.000 figure.py:250(Figure)
        2    0.000    0.000    0.000    0.000 axis.py:2216(_get_offset_text)
      377    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1899(__mul__)
       27    0.000    0.000    0.000    0.000 core.py:920(__init__)
      178    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
      100    0.000    0.000    0.000    0.000 font_manager.py:708(set_family)
       24    0.000    0.000    0.000    0.000 dviread.py:155(decorate)
        1    0.000    0.000    0.000    0.000 database.py:909(Get_Living_Robot_At_Position)
       18    0.000    0.000    0.000    0.000 core.py:996(__init__)
        1    0.000    0.000    0.000    0.000 pyrosim.py:1530(_send_collision_matrix)
       42    0.000    0.000    0.000    0.000 pyparsing.py:765(copy)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        4    0.000    0.000    0.000    0.000 {built-in method posix.open}
        6    0.000    0.000    0.000    0.000 pyparsing.py:1214(setResultsName)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      164    0.000    0.000    0.000    0.000 colors.py:439(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       11    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
        2    0.000    0.000    0.000    0.000 database.py:1257(Get_Robot_Num_Reinforced_Evaluations)
        2    0.000    0.000    0.000    0.000 transforms.py:1524(transform_path_affine)
      132    0.000    0.000    0.000    0.000 lines.py:956(set_antialiased)
       12    0.000    0.000    0.000    0.000 pathlib.py:644(_from_parts)
        2    0.000    0.000    0.000    0.000 agraph.py:1529(_get_fh)
        2    0.000    0.000    0.000    0.000 _base.py:618(_set_lim_and_transforms)
       37    0.000    0.000    0.000    0.000 {method 'fetchone' of 'sqlite3.Cursor' objects}
        8    0.000    0.000    0.000    0.000 backend_bases.py:671(new_gc)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       18    0.000    0.000    0.000    0.000 __init__.py:1624(safe_first_element)
       54    0.000    0.000    0.000    0.000 pyparsing.py:2870(__str__)
       17    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
       50    0.000    0.000    0.000    0.000 enum.py:441(_get_mixins_)
      667    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       25    0.000    0.000    0.000    0.000 pyparsing.py:4150(__init__)
      178    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       92    0.000    0.000    0.000    0.000 __init__.py:204(process)
      233    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      210    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
       18    0.000    0.000    0.000    0.000 enum.py:473(_find_new_)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1948(makeOptionalList)
        1    0.000    0.000    0.000    0.000 pyparsing.py:5864(pyparsing_unicode)
        8    0.000    0.000    0.000    0.000 backend_bases.py:733(__init__)
        6    0.000    0.000    0.000    0.000 patches.py:1822(<listcomp>)
      302    0.000    0.000    0.000    0.000 __init__.py:907(__iter__)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
      800    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 numeric.py:2916(extend_all)
      432    0.000    0.000    0.000    0.000 colors.py:204(<genexpr>)
      432    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
       14    0.000    0.000    0.000    0.000 transforms.py:2263(__init__)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1689(resize_event)
    24/23    0.000    0.000    0.000    0.000 transforms.py:2639(get_matrix)
        1    0.000    0.000    0.000    0.000 pyplot.py:2078(<listcomp>)
       14    0.000    0.000    0.000    0.000 pathlib.py:624(_parse_args)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       15    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       16    0.000    0.000    0.000    0.000 functools.py:476(decorating_function)
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
        2    0.000    0.000    0.000    0.000 database.py:845(Get_Current_Evaluation)
        4    0.000    0.000    0.000    0.000 enum.py:869(<listcomp>)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
       24    0.000    0.000    0.000    0.000 axis.py:871(_translate_tick_kw)
       16    0.000    0.000    0.000    0.000 population.py:59(Choose_Aggressor)
       99    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 figure.py:960(set_facecolor)
       22    0.000    0.000    0.000    0.000 units.py:117(is_numlike)
      508    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1684(LoggerAdapter)
      132    0.000    0.000    0.000    0.000 lines.py:968(set_color)
        1    0.000    0.000    0.000    0.000 synapses.py:128(Send_HH)
      336    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      109    0.000    0.000    0.000    0.000 text.py:1163(set_verticalalignment)
     1398    0.000    0.000    0.000    0.000 inspect.py:2523(annotation)
        2    0.000    0.000    0.000    0.000 database.py:1120(Get_Positive_Reinforcements_For_Robot)
      496    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       20    0.000    0.000    0.000    0.000 numeric.py:2491(seterr)
        1    0.000    0.000    0.000    0.000 getlimits.py:409(_init)
        1    0.000    0.000    0.000    0.000 pyrosim.py:74(__init__)
        6    0.000    0.000    0.000    0.000 transforms.py:1536(transform_path_non_affine)
      132    0.000    0.000    0.000    0.000 lines.py:1120(set_markeredgecolor)
        2    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      132    0.000    0.000    0.000    0.000 lines.py:607(axes)
       81    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 paretoFront.py:48(Sufficient_Conditions_For_Drawing)
      182    0.000    0.000    0.000    0.000 artist.py:338(get_transform)
        1    0.000    0.000    0.000    0.000 simulation.py:93(Determine_Speed_Based_On_Previous_Speed)
       24    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 database.py:1888(Total_Positive_Reinforcements)
        1    0.000    0.000    0.000    0.000 __init__.py:645(get_cachedir)
       11    0.000    0.000    0.000    0.000 transforms.py:2698(get_matrix)
        4    0.000    0.000    0.000    0.000 axis.py:963(iter_ticks)
        8    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4603(delimitedList)
        1    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:67(destroy_all)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1615(__init__)
      109    0.000    0.000    0.000    0.000 text.py:974(set_horizontalalignment)
      253    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.can_cast}
        3    0.000    0.000    0.000    0.000 pathlib.py:1234(mkdir)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       57    0.000    0.000    0.000    0.000 random.py:256(choice)
      410    0.000    0.000    0.000    0.000 artist.py:1235(aliased_name)
      108    0.000    0.000    0.000    0.000 text.py:246(set_rotation_mode)
        7    0.000    0.000    0.000    0.000 fromnumeric.py:49(_wrapfunc)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
      170    0.000    0.000    0.000    0.000 rcsetup.py:59(__call__)
       38    0.000    0.000    0.000    0.000 neuron.py:49(Send_Sensor_Neuron_To_Simulator)
        6    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
       27    0.000    0.000    0.000    0.000 locale.py:647(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 __init__.py:578(_get_xdg_config_dir)
      374    0.000    0.000    0.000    0.000 artist.py:205(axes)
        1    0.000    0.000    0.000    0.000 contour.py:52(ContourLabeler)
      208    0.000    0.000    0.000    0.000 font_manager.py:895(_normalize_font_family)
      256    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        3    0.000    0.000    0.000    0.000 pathlib.py:1050(home)
      323    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
       86    0.000    0.000    0.000    0.000 pyparsing.py:3505(<genexpr>)
        2    0.000    0.000    0.000    0.000 gridspec.py:288(get_subplot_params)
        2    0.000    0.000    0.000    0.000 axis.py:1697(set_ticks)
       62    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.zeros}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       62    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.arange}
      218    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        2    0.000    0.000    0.000    0.000 database.py:1264(Get_Robot_Num_Yeses)
        1    0.000    0.000    0.000    0.000 command.py:42(Command_Is_Invalid)
       46    0.000    0.000    0.000    0.000 __init__.py:1348(is_math_text)
       48    0.000    0.000    0.000    0.000 scale.py:555(scale_factory)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1509(set)
      100    0.000    0.000    0.000    0.000 font_manager.py:721(set_style)
        6    0.000    0.000    0.000    0.000 pathlib.py:1336(is_dir)
        3    0.000    0.000    0.000    0.000 threading.py:499(__init__)
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
      220    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      221    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      474    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      945    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:2106(timezone)
        3    0.000    0.000    0.000    0.000 numeric.py:2350(within_tol)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
       15    0.000    0.000    0.000    0.000 pathlib.py:53(parse_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:109(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        3    0.000    0.000    0.000    0.000 subprocess.py:979(wait)
        2    0.000    0.000    0.000    0.000 selectors.py:365(unregister)
      219    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1319(__init__)
      101    0.000    0.000    0.000    0.000 font_manager.py:1009(get_default_size)
        2    0.000    0.000    0.000    0.000 arrayprint.py:91(set_printoptions)
       39    0.000    0.000    0.000    0.000 inspect.py:484(unwrap)
       23    0.000    0.000    0.000    0.000 rcsetup.py:47(__init__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:288(__call__)
      100    0.000    0.000    0.000    0.000 font_manager.py:732(set_variant)
       14    0.000    0.000    0.000    0.000 patches.py:355(set_linestyle)
        6    0.000    0.000    0.000    0.000 transforms.py:2236(get_affine)
        6    0.000    0.000    0.000    0.000 warnings.py:154(simplefilter)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2092(cumsum)
        1    0.000    0.000    0.000    0.000 artist.py:69(Artist)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       52    0.000    0.000    0.000    0.000 __init__.py:142(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:2016(all)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
      108    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       10    0.000    0.000    0.000    0.000 numeric.py:2891(__enter__)
        1    0.000    0.000    0.000    0.000 agraph.py:118(__init__)
       37    0.000    0.000    0.000    0.000 pyrosim.py:887(send_sensor_neuron)
       26    0.000    0.000    0.000    0.000 patches.py:337(set_linewidth)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1751(<dictcomp>)
        1    0.000    0.000    0.000    0.000 database.py:16(DATABASE)
        6    0.000    0.000    0.000    0.000 pathlib.py:1146(stat)
        1    0.000    0.000    0.000    0.000 simulation.py:137(No_Evaluations_Yet)
        2    0.000    0.000    0.000    0.000 path.py:516(get_extents)
       38    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      121    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       32    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
        1    0.000    0.000    0.000    0.000 tokenize.py:374(read_or_stop)
        1    0.000    0.000    0.000    0.000 command.py:56(No_Commands_Available_In_Database)
       55    0.000    0.000    0.000    0.000 rcsetup.py:939(_validate_linestyle)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1506(get)
        6    0.000    0.000    0.000    0.000 patches.py:1815(<listcomp>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
       14    0.000    0.000    0.000    0.000 weakref.py:44(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 core.py:6266(__new__)
        3    0.000    0.000    0.000    0.000 subprocess.py:1586(_wait)
        1    0.000    0.000    0.000    0.000 messageToCrowd.py:159(Print_Preamble)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      209    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        8    0.000    0.000    0.000    0.000 transforms.py:942(p1)
        1    0.000    0.000    0.000    0.000 legend.py:307(Legend)
      256    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       65    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
      121    0.000    0.000    0.000    0.000 pyparsing.py:1361(preParse)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2798(Regex)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:594(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 _base.py:3324(set_xticks)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       92    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        1    0.000    0.000    0.000    0.000 imp.py:254(find_module)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:132(_family)
        2    0.000    0.000    0.000    0.000 transforms.py:1741(__eq__)
       63    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.result_type}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 agraph.py:1234(write)
        6    0.000    0.000    0.000    0.000 deprecation.py:54(warn_deprecated)
        1    0.000    0.000    0.000    0.000 database.py:1332(Get_Unlocked_Environments)
      629    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 population.py:320(User_Requested_To_See_All_Bots)
        8    0.000    0.000    0.000    0.000 core.py:8061(__init__)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       30    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
        1    0.000    0.000    0.000    0.000 population.py:166(Request_To_See_All_Bots_Is_Available)
        1    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
       16    0.000    0.000    0.000    0.000 spines.py:318(_calc_offset_transform)
        1    0.000    0.000    0.000    0.000 twodim_base.py:843(triu_indices)
       15    0.000    0.000    0.000    0.000 text.py:539(set_clip_box)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      345    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       44    0.000    0.000    0.000    0.000 artist.py:836(set_alpha)
        4    0.000    0.000    0.000    0.000 transforms.py:947(intervalx)
        1    0.000    0.000    0.000    0.000 blocking_input.py:20(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:687(Axis)
      201    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
        9    0.000    0.000    0.000    0.000 fromnumeric.py:2337(amin)
       19    0.000    0.000    0.000    0.000 __init__.py:1272(_fixupParents)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3642(__str__)
        3    0.000    0.000    0.000    0.000 patches.py:673(get_path)
        2    0.000    0.000    0.000    0.000 gridspec.py:145(__getitem__)
        5    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       50    0.000    0.000    0.000    0.000 enum.py:452(_find_data_type)
       45    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
       20    0.000    0.000    0.000    0.000 __init__.py:1341(__init__)
      615    0.000    0.000    0.000    0.000 inspect.py:2827(parameters)
       23    0.000    0.000    0.000    0.000 rcsetup.py:57(<dictcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:1105(Arrow)
        6    0.000    0.000    0.000    0.000 path.py:159(_fast_from_codes_and_verts)
        2    0.000    0.000    0.000    0.000 database.py:1276(Get_Robot_Num_Nos)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3419(setResultsName)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4004(__init__)
        1    0.000    0.000    0.000    0.000 database.py:1150(Get_Show_All_Request)
        8    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
       24    0.000    0.000    0.000    0.000 figure.py:894(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 agraph.py:60(AGraph)
        1    0.000    0.000    0.000    0.000 colors.py:89(<dictcomp>)
      574    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 robot.py:65(Get_Hidden_Neuron_Synapses)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
       13    0.000    0.000    0.000    0.000 __init__.py:1361(debug)
       44    0.000    0.000    0.000    0.000 stride_tricks.py:250(<listcomp>)
        8    0.000    0.000    0.000    0.000 core.py:8066(getdoc)
       63    0.000    0.000    0.000    0.000 rcsetup.py:429(validate_fontsize)
        4    0.000    0.000    0.000    0.000 figure.py:204(update)
        1    0.000    0.000    0.000    0.000 brain.py:32(Get_Hidden_Neuron_Synapses)
       26    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
        1    0.000    0.000    0.000    0.000 command.py:80(Set_Random_Command_Ranked)
       14    0.000    0.000    0.000    0.000 __init__.py:958(get_siblings)
       38    0.000    0.000    0.000    0.000 colors.py:788(__init__)
      277    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 environment7.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:1443(apply_aspect)
       18    0.000    0.000    0.000    0.000 neuron.py:75(Send_Motor_Neuron_To_Simulator)
      558    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:46(_w_long)
      144    0.000    0.000    0.000    0.000 pyparsing.py:2226(__hash__)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
      147    0.000    0.000    0.000    0.000 text.py:1179(set_text)
        1    0.000    0.000    0.000    0.000 _parser.py:574(__init__)
        1    0.000    0.000    0.000    0.000 database.py:1168(Get_Speed_Change_Request)
        1    0.000    0.000    0.000    0.000 synapses.py:72(Get_Hidden_Neuron_Synapses)
      347    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       32    0.000    0.000    0.000    0.000 warnings.py:463(__enter__)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1569(FigureCanvasBase)
       44    0.000    0.000    0.000    0.000 axis.py:190(_set_labelrotation)
        1    0.000    0.000    0.000    0.000 scale.py:582(get_scale_docs)
       74    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        2    0.000    0.000    0.000    0.000 selectors.py:247(unregister)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1863(__radd__)
